HASŁO;PODPOWIEDŹ
zlew;bakterie
kanapa;drzemka
łóżko;sny
lodówka;zimno
szafa;ubrania
lustro;makijaż
dywan;gniotek
zasłony;okno
stół;posiłek
krzesło;nogi
poduszka;pierze
kołdra;ciepło
telewizor;salon
pilot;baterie
lampa;noc
piekarnik;blacha
czajnik;gwizdek
kuchenka;gaz
zmywarka;automatyzacja
pralka;woda
suszarka;wilgoć
żelazko;para
deska do prasowania;para
kosz na śmieci;opakowanie
odkurzacz;kurz
szczotka;czyszczenie
mop;podłoga
łazienka;higiena
toaleta;kolejka
prysznic;woda
wanna;relaks
umywalka;ręce
mydło;piana
ręcznik;brudne
szafka;ubrania
półka;książki
komoda;szuflady
drzwi;klamka
okno;widok
biurko;praca
komputer;ekran
klawiatura;pisanie
mysz;klik
regał;przechowywanie
gniazdko;ściana
przedpokój;buty
wieszak;kurtki
rolety;cień
klimatyzacja;chłód
