HASŁO;PODPOWIEDŹ
komputer;urządzenie
procesor;obliczenia
RAM;tymczasowa
dysk;twardy
system operacyjny;zarządzanie
linux;pingwin
windows;okno
macos;jabłko
klawiatura;pisanie
mysz;wskaźnik
monitor;ekran
serwer;usługi
sieć;połączenie
internet;globalne
router;przekierowanie
adres IP;identyfikacja
firewall;ochrona
hasło;bezpieczeństwo
login;dostęp
api;komunikacja
backend;logika
frontend;interfejs
framework;szkielet
biblioteka;kod
kompilator;tłumaczenie
debugowanie;błędy
zmienna;wartość
funkcja;wywołanie
pętla;powtarzanie
warunek;jeżeli
repozytorium;kod
git;wersjonowanie
commit;zapis
branch;gałąź
merge;łączenie
bug;usterka
patch;poprawka
aktualizacja;nowości
backup;kopia
chmura;zdalnie
terminal;komendy
szyfrowanie;ochrona danych
dhcp;przydziela
