HASŁO;PODPOWIEDŹ
pizza;trójkąt
spaghetti;widelec
hamburger;sezam
sushi;pałeczki
frytki;olej
zupa;łyżka
chleb;skórka
masło;nóż
ser;dziury
szynka;kanapka
jajko;skorupka
parówki;folia
mleko;karton
jogurt;łyżeczka
płatki;miska
kawa;filiżanka
herbata;torebka
cukier;kostka
sól;kryształki
pieprz;młynek
miód;pszczoła
dżem;słoik
czekolada;kostki
ciastko;okruchy
tort;świeczka
lody;gałka
jabłko;pestka
banan;skórka
cytryna;kwas
truskawka;kropki
winogrona;kiść
arbuz;pestki
pomidor;przecier
ogórek;kiszenie
ziemniak;mundurek
marchewka;karotka
cebula;łzy
czosnek;ząbek
papryka;nasiona
ryż;torebka
makaron;pszenica
kasza;gryczana
kurczak;pierś
ryba;ości
krewetki;pancerz
pizza;karton
ketchup;pomidory
musztarda;gorczyca
majonez;sałatka
oliwa;tłoczenie
