HASŁO;PODPOWIEDŹ
polska;bałtyk
niemcy;autostrada
francja;wieża
włochy;makaron
hiszpania;słońce
grecja;wakacje
egipt;piramida
japonia;technologia
usa;statuła
chiny;mur
anglia;deszcz
turcja;kebap
brazylia;karnawał
australia;kangur
kanada;liść
paszport;pieczątka
walizka;kółka
plecak;góry
namiot;biwak
hotel;recepcja
samolot;chmury
pociąg;tory
autobus;przystanek
statek;rejs
rower;ścieżka
mapa;kierunek
kompas;północ
plaża;piasek
ocean;fala
pustynia;wielbłąd
dżungla;małpa
wyspa;palma
góry;szczyt
jezioro;kajak
miasto;rynek
wieś;traktor
lotnisko;odprawa
dworzec;peron
pamiątka;magnes
aparat;widok
wakacje;lato
wycieczka;przewodnik
granica;szlaban
stolica;centrum
flaga;kolory
waluta;kantor
bilety;kontrola
przygoda;plecak
klimat;pogoda
turysta;zwiedzanie
