HASŁO;PODPOWIEDŹ
doge;pies
stonks;giełda
pepe;żaba
this is fine;pożar
change my mind;stolik
surprised pikachu;zdziwienie
woman yelling at cat;krzyk
trollface;provokacja
success kid;sukces
rickroll;prank
gigachad;samiec
wojak;emocje
npc;powtarzalność
among us;oszust
sus;podejrzany
bonk;kara
shrek;ogr
bing chilling;lody
side eye;spojrzenie
ok boomer;odpowiedź
keyboard cat;muzyka
nyan cat;tęcza
coffin dance;pogrzeb
sad pepe;smutek
happy pepe;radość
cringe;żenada
touch grass;internet
skull;śmiech
agartha;magiczna kraina
bird game3;ptaki
MLG;MountanDew
ohio;ameryka
Mr.Beast;pieniądze
crazy?;szczury
polish cow;narkotyki
italian brain root;pizza
napoleon;historia
my sunshine;koszykówka
clanker;robot
didi;raper
charlie kirk;śmierć
i show speed;mięso
yippee!!;cola
josh pork;szynka
chipi chipi;kot
wszystkie drogi prowadzą do rzymu;starożytność
mr.white;gotowanie
lock in;zamknięte
F students;inteligencja
back rooms;tapeta
