HASŁO;PODPOWIEDŹ
gitara;struny
perkusja;pałeczki
pianino;klawisze
skrzypce;smyczek
flet;dmuchanie
trąbka;policzki
mikrofon;śpiew
głośnik;hałas
słuchawki;uszy
radio;samochód
płyta;krążek
kaseta;taśma
winyl;gramofon
koncert;tłum
zespół;grupa
wokalista;głos
raper;rymy
tekst;słowa
rytm;takt
melodia;nucenie
nuty;zeszyt
teledysk;obraz
scena;światła
festiwal;bilety
płyta;okładka
singiel;hit
album;kolekcja
studio;nagrywanie
bas;wibracje
tempo;szybkość
nagroda;statuetka
fani;autograf
scena;nagłośnienie
składanka;mikstape
remiks;wersja
taniec;ruch
impreza;didżej
gitara elektryczna;kabel
keyboard;baterie
akord;chwyt
refren;powtórka
zwrotka;początek
perkusista;talerze
pianista;koncertowa
gwiazda;sława
gatunek;rodzaj
pop;radio
rock;energia
hip-hop;bit
muzyka;relaks
