HASŁO;PODPOWIEDŹ
drzewo;tlen
liść;suche
krzew;owoce
mech;miękkość
grzyb;stopy
kwiat;nektar
nasiono;początek
żywica;zapach
szyszka;rzucanie
rzeka;brzeg
jezioro;odbicie
morze;sól
ocean;ciemność
wodospad;spadek
fala;przypływ
potok;kamienie
deszcz;zapach
śnieg;płatki
lód;przezroczysty
mgła;wilgoć
słońce;wybuchy
księżyc;wilk
gwiazda;daleko
chmura;woda
niebo;ptak
tęcza;pryzmat
piorun;szybki
wiatr;powiew
góra;widok
dolina;wąwóz
jaskinia;wejście
skała;twarde
piasek;buty
wulkan;dym
łąka;zioła
bagno;shrek
ptak;śpiew
ryba;sieć
pszczoła;pyłek
mrowisko;praca
pająk;sieć
wilk;las
motyl;kolor
