HASŁO;PODPOWIEDŹ
piłka nożna;bramka
siatkówka;siatka
koszykówka;kosz
tenis;rakieta
bieganie;buty
pływanie;basen
rower;kask
narty;śnieg
łyżwy;lód
boks;rękawice
karate;pas
joga;mata
taniec;muzyka
siłownia;hantle
fitness;trening
piłka ręczna;rzut
skok wzwyż;poprzeczka
skok w dal;piasek
maraton;dystans
rower;pedałowanie
wspinaczka;lina
żeglarstwo;żagiel
kajakarstwo;wiosło
hokej;krążek
golf;kij
ping-pong;stół
bilard;bile
skateboarding;deska
rolki;kółka
hulajnoga;podest
lekkoatletyka;bieżnia
olimpiada;medale
puchar;zwycięstwo
trener;gwizdek
zawodnik;numer
drużyna;kapitan
mecz;wynik
stadion;kibice
boisko;trawa
siatka;plaża
gogle;stok
stoper;czas
rozgrzewka;skłony
mięśnie;zakwasy
kondycja;zmęczenie
wf;szkoła
szatnia;szafka
woda;bidon
rower stacjonarny;pedałowanie
kulturystyka;mięśnie
