HASŁO;PODPOWIEDŹ
samochód;kierownica
motocykl;kask
rower;łańcuch
paliwo;stacja
mandat;radar
opona;bieżnik
silnik;maska
autobus;przystanek
pociąg;peron
tramwaj;szyny
samolot;lotnisko
statek;port
skuter;miasto
korek;godziny szczytu
kierowca;prawo jazdy
garaż;brama
parking;miejsce
autostrada;opłata
rowerzysta;kask
hulajnoga;chodnik
ciężarówka;naczepa
traktor;pole
taksówka;licznik
metro;podziemia
prom;rzeka
bagażnik;walizka
akumulator;prąd
kluczyki;stacyjka
wycieraczki;deszcz
reflektory;noc
hamulec;zatrzymanie
gaz;pedał
skrzynia biegów;drążek
pasy;bezpieczeństwo
lusterko;widok
poduszka powietrzna;wypadek
warsztat;naprawa
myjnia;piana
laweta;awaria
rejestracja;tablica
licznik;prędkość
klimatyzacja;upał
nawigacja;trasa
pasażer;bilet
rondo;zjazd
skrzyżowanie;światła
pieszy;zebra
stacja benzynowa;hot-dog
quad;błoto
rower wodny;jezioro
