HASŁO;PODPOWIEDŹ
film;seans
kino;bilety
aktor;scena
muzyka;słuchawki
koncert;scena
gitara;struny
perkusja;pałeczki
pianino;klawisze
piosenka;tekst
radio;stacja
telewizja;kanał
serial;odcinek
netflix;platforma
youtube;filmik
tiktok;trend
gra;konsola
komputer;monitor
pad;przycisk
książka;rozdział
komiks;obrazki
gazeta;artykuł
teatr;kurtyna
opera;śpiew
muzeum;obraz
galeria;sztuka
taniec;parkiet
impreza;muzyka
urodziny;prezent
karty;talia
szachy;figury
planszówka;pionek
puzzle;układanka
karnawał;maska
cyrk;akrobata
magik;sztuczka
kawał;śmiech
kultura;muzeum
sztuka;rzeźba
fotografia;aparat
kamera;nagrywanie
mikrofon;głos
głośnik;dźwięk
słuchawki;muzyka
kreatywność;pomysł
pasja;hobby
sport;stadion
kibic;flaga
wycieczka;zwiedzanie
spacer;park
las;natura
