HASŁO;PODPOWIEDŹ
strażak;ogień
policjant;mandat
lekarz;szpital
nauczyciel;oceny
kucharz;patelnia
piekarz;bułki
cukiernik;tort
sędzia;wyrok
adwokat;prawo
programista;kod
grafik;logo
fotograf;zdjęcie
dziennikarz;mikrofon
pisarz;książka
malarz;pędzel
rzeźbiarz;glina
muzyk;koncert
dyrygent;orkiestra
aktor;rola
reżyser;kamera
rolnik;traktor
ogrodnik;trawa
leśnik;drzewa
rybak;wędka
myśliwy;las
kierowca;kierownica
pilot;samolot
kapitan;statek
mechanik;silnik
elektryk;prąd
hydraulik;rura
murarz;cegła
stolarz;drewno
ślusarz;klucze
kominiarz;dach
górnik;węgiel
hutnik;metal
krawiec;igła
fryzjer;nożyczki
kosmetyczka;paznokcie
aptekarz;leki
bibliotekarz;regał
archiwista;dokumenty
księgowy;podatki
bankier;kredyt
sprzedawca;kasa
kurier;paczka
żołnierz;mundur
ratownik;basen
astronauta;kosmos
